,Comment Head,Rating,Review,Name,Date
391,Redmi Note 8 Pro... Stunning in looks. Awesome in performance. Unmatched in Price,5,"The Redmi Note 8 Pro surprised me. The delivery was pretty fast. Got it the very next day by 11 a.m. After unboxing, the phone had about 59% power and it lasted the whole day. The phone is extremely elegant in looks and feel. We selected the gamma green and its envying. The phone is just one day old and is being used by my wife.  The UI is very smooth ( but the in-built ads can be annoying sometimes).  The navigation is very smooth. I did play one game for a long time and did not find any lag or heating up issues. The camera is out of this world. Alexa is mind-blowing. FM Radio is equally good. The sound output is real. The video clarity is remarkable. It has separate dual nano sim slots and a dedicated slot for a memory card or expandable GBs. The silicon carry case is also of good quality.  I shall review this phone in detail at a later stage.",Manoj Warrier, 29 November 2019
392,Veer good,5,Veer good,Ashwani Kumar, 5 March 2022
393,Waste of money don't buy it,5,"-64 MP camera is a gamic for selling the mobile needs lots of improvement via ota updates by redmi which we doubt-Better performance can b seen on mi note 5 pro-Sometimes proximity sensor doesn't work but after CIT test and calibration it works fine-No heating issue till now-Call quality good ,network coverage good-wifi display sucks laggy video- realme xt n redmi note 8 pro both have 64mp camera sensor so no expected better performance can be seen-glass back got scratch easily better option is to laminate it- phone is slightly heavy 200g-as MediaTek processor no GCam support till now-2mp micro sensor is a gamic for selling device lots of noise in the picture- lots of full screen ads in the device even incoming call gets hanged by the ads- every apps has ads and can't control itOverall overview is if want to waste money buy it on flash sale hype by Mi",Manisha das, 11 November 2019
394,"Decent Model, good for Entertainment",4,"Great product for the given price...Got some offers like Instant bank discount, exchange offer and extra discount from seller.-Great for gaming-Good display quality-Decent call quality-Audio output of speaker is ok but could have been better-Ringtone volume is a bit on the lower side but manageable-Camera was much anticipated but just satisfactoryOverall a decent product with good Ram and Storage. Good for overall entertainment !",Anup M., 31 July 2020
395,Best for the Price range,4,"Battery 🔋life is very good.Back cameras are quite good, 64mp mode is best, portrait mode is 🔥.Front camera is too good..But wide angle camera is not satisfied. (demerit 1)Video stabilization is awesome thn ever..It's get hot when you play pubg in HDR/ULTRA (demerit2)Fingerprint sensor work good but it take some time to open the app and unlock the device.. But it's okay. No problemEverything  else is great👍😊",Rajkumar Sahukar, 8 July 2020
396,Good Buy,4,The phone is overall good for the price. The battery life is really nice and camera quality as well. But there are some minor issues I'm facing in my phone like the wallpaper which I set keeps changing and also whenever I open an App after sometime it just goes back to my home screen. Also the setting of sound & vibration which I set keeps changing. Except these small problems the phone is good.,Siddhi Chiplunkar, 5 July 2020
397,Real Champion,5,"Got it from Amazon after many tries in that flash sales but the product really satisfied me. Great cameras at this price. 64 mp shots, low light images are really good. I'm was a bit confused between Note 8 pro and realme xt but realme phones have very oversaturated and unrealistic image processing. But photos of this phone are really close to reality. Battery life is also very good. You can easily get 1 and half days battery. Charging speed is pretty decent. Fingerprint reader is very fast and accurate. Display is HDr supported. Performance is top notch. I have not noticed any lag or frame drops and multitasking is really smooth. Call quality and network reception is also good. The only con that I have noticed is during youtube video play colours sometimes appears odd. Hope it will be fixed very soon by software updates. Overall the phone is best in this price and it's more than value for money product. Don't be tensed, just go for it.",SINJON NATH, 2 December 2019
398,Nice,4,"The phone worked fine for the first 3 months. Then suddenly a popup of some invalid input started coming every 30s. It got very disturbing. This problem lasted for some weeks and then stopped. Again when I did the software update of the phone the problem started. Also if I updated any app the problem starts. This is the only con, and I'm really irritated by it. Otherwise the phone is really good. Great camera and performance. Battery life is also good.",Swarnali G., 31 May 2020
399,Seller sold faulty product,4,Order for new phone but received faultyMy be this phone was returned to seller for damage cameraCamera lens has foreign particle inside which I got notice after 2-3 month,Rahul Gawad, 6 May 2021
400,Best phone ever #redmi #mi,5,"The Xiaomi Redmi Note 8 Pro is an upgrade over the Note 7 Pro in almost every count. At least on paper. In the real world, there is a boost in gaming performance and display quality while the added Alexa integration will be welcomed by some. The camera quality remains more or less the same despite a newer sensor, and that’s not necessarily a bad thing. Addressing a few burning issues, we initially concluded the Note 8 Pro might be overheating during longer gaming sessions. While the phone does run warmer than say the Realme 5 Pro, it doesn’t go beyond 50 degrees, which is what we consider overheating in smartphones. The battery life of the phone is just as good as its predecessor, despite a larger battery. By the looks of it, Xiaomi took a bold step by choosing to go with a MediaTek flagship SoC and it seems to have paid off. There’s no reason why shouldn’t buy the Redmi Note 8 Pro, save for the pesky ads in the UI.#redmi #mi",Bhavesh assudani, 6 November 2019
401,6 Months Reviews unbiased,5,"Awesome device ..... I'm lovin it. It's been more than 6 months I'm using it but still it feels like a new device.Gaming -Some Heating Issues are faced during Gaming but thanks to liquid cooling 😌😌, It helps to cool down very soon.Processor -When I was purchasing it, a was having a lil bit of doubt but G90T is very good at the price of 15k. It never felt me feel any type of lag in my device.🔋 Battery 🔋 -Can't say much about it 🤔🤔 but still it is nice. It easily last long for more than a day if there is no hard usage. But Battery Drainage increases while playing PUBG. But thanks to Fast Charging 😌😌. Fast Charging works wellCamera -Camera specifications are the best, say like a flagship device but the software need optimisation.",Dharmendra Kumar, 11 March 2020
